Result,surface,best_of,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
0,1,3,-5,-1.30047912,-5,3,-0.066460152,0.0625,0.073732719,4,-19
0,1,3,5,11.58932238,3,0,-0.022644928,0.12,0.314699793,121,-426
1,1,3,-3,10.74880219,-4,1,0.003728814,-0.099391481,-0.083809524,53,-965
0,1,3,-25,-2.93771389,-4,2,-0.079744817,0.141666667,0.015669516,-21,775
0,1,3,2,-1.61806982,-10,1,0.148387097,-0.032738095,0.146446078,-100,1115
0,1,3,5,-6.38193019,6,3,-0.036494369,0.128063241,0.06984127,13,-785
1,1,3,-5,-3.86858317,0,-2,-0.074884792,-0.217468806,-0.10815047,10,-247
1,1,3,5,2.00958248,-2,-2,-0.03504805,-0.086111111,-0.164502164,57,-3473
1,1,3,-8,13.90006845,-5,4,-0.067388096,0.1002331,-0.033197832,179,-1423
1,1,3,-13,5.98220397,-6,-3,0.07509434,-0.110459433,-0.022727273,73,-1534
0,1,3,22,-3.21423682,4,3,-0.005742412,-0.010526316,0.013605442,62,-1208
1,1,3,-5,1.045859,-7,1,-0.170833333,-0.144781144,-0.285714286,49,-881
0,1,3,-5,-5.25941137,0,3,-0.035042735,0.057518797,0.009187621,6,-127
0,1,3,5,4.78302532,0,-3,-0.036956522,0.262626262,0.350877193,-274,8080
0,1,3,15,-2.81177276,9,-2,0.020127639,0.052729529,-0.097321429,10,-2560
1,1,3,-11,-3.1594798,-6,0,0.031348788,-0.163592623,-0.22173913,64,-1498
0,1,3,-13,-4.93086927,-5,-2,0.12414966,-0.043006993,0.10269865,7,-805
1,1,3,3,-9.76865161,1,1,-0.030352178,-0.123449131,-0.112903226,25,-6905
0,1,3,3,1.81793292,3,0,-0.022603978,0.057067272,0.1,-4,495
1,1,3,0,-12.07118412,-4,4,0.012615956,-0.271206691,-0.170454545,17,-6665
0,1,3,11,-9.3853525,-1,3,0.009289618,0.088235294,0.019943019,11,-6095
1,1,3,12,-0.93086927,6,-1,-0.032252252,-0.061678463,0.028921023,-6,136
1,1,3,2,-0.90075291,-1,-4,-0.09629981,-0.06010929,-0.047619047,-1,4
0,1,3,8,2.34360027,7,5,-0.106625259,0.198198198,0.02875,-15,81
1,1,3,0,-1.16632443,1,-1,0.086520376,-0.14308426,-0.319444445,67,-869
0,1,3,0,-3.78918549,4,0,-0.092592593,0.248774509,0.047237077,-36,836
1,1,3,5,1.81519507,-9,2,-0.150503444,-0.224880383,-0.082051282,23,-5435
1,1,3,13,-4.11225189,-4,2,-0.059387566,0.124883504,-0.291666666,15,-5232
1,1,3,3,-5.10609172,-5,3,-0.066768293,-0.127580894,-0.211640212,62,-4496
1,1,3,5,3.70157426,-5,-1,0.060962567,-0.195402299,-0.261904762,35,-143
1,1,3,15,6.32991102,5,2,-0.150459603,-0.100769231,0.017195767,-56,719
1,1,3,-10,5.43463382,-1,5,-0.098039216,-0.09657876,-0.036585366,-87,3700
0,1,3,5,0.37782341,0,2,-0.008807285,0.095454545,0.117456897,-8,73
0,1,3,-3,6.01232033,-6,5,-0.001836788,0.005804312,-0.01068376,41,-194
0,1,3,3,0.30390144,0,2,-0.174863388,0.152380953,0.072196621,-56,3840
1,1,3,-10,5.91101985,-2,-3,-0.120467836,-0.327294686,0.025974026,62,-559
0,1,3,-3,-4.10677618,-1,-1,-0.014617239,-0.104328524,0.05875576,-4,45
1,1,3,-3,-0.18069815,-8,5,-0.139643861,-0.030701754,-0.098809524,54,-334
1,1,3,8,2.45037645,-1,4,-0.218181818,-0.15625,-0.527173913,117,-16092
0,1,3,-5,0.8405202,-7,2,0.033721397,0.132867133,0.357142857,-61,4490
1,1,3,-10,0.67351129,0,-2,-0.026587301,-0.057124519,-0.173387097,6,-22
1,1,3,3,2.29431896,0,2,0.064570656,-0.114143921,-0.228947368,-44,258
1,1,3,-3,5.08418891,-11,3,-0.193253968,-0.14762931,-0.207977208,64,-651
1,1,3,-24,-6.67214237,-6,1,0.071259709,-0.338947368,0.030909091,76,-3971
1,1,3,-8,1.30595483,-4,-1,0.095238096,-0.270676692,-0.055555556,29,-380
1,1,3,0,3.51540041,2,0,-0.032051282,-0.188948306,-0.33126935,48,-15685
1,1,3,0,-4.72279261,5,4,-0.117071882,0.059270517,-0.036585366,74,-4567
1,1,3,3,0.56947297,8,4,0.188493019,-0.011111111,-0.318785579,-63,650
1,1,3,0,0.01916495,1,5,-0.035897436,-0.252888318,0.048245614,34,-15435
0,1,3,0,1.26488707,0,-1,0.04996506,0.120463321,0.131578947,-89,4625
0,1,3,-8,-1.67556468,0,-3,0.063938619,0.077777778,0.077380953,-5,11965
1,1,3,-3,0.96646133,-1,0,-0.098837209,-0.287878788,-0.327272727,4,-11355
1,1,3,0,2.33264887,4,-3,0.196859903,-0.002105263,-0.27244582,64,-590
1,1,3,-5,0.6735113,-5,1,-0.087719299,-0.23939394,-0.316666666,-45,216
0,1,3,-7,1.85078713,-1,2,0.009090909,0.018996961,-0.055161545,-12,324
0,1,3,17,1.77960302,11,1,-0.029827316,0.124528302,-0.052631578,11,-82
1,1,3,15,11.3155373,3,4,-0.176817702,0.037601626,-0.292279412,-16,410
0,1,3,12,-12.14510609,6,-4,-0.06529517,0.275757576,0.348484849,-30,668
0,1,3,10,-1.19917865,4,0,0.020336606,0.167582417,-0.065217391,5,-40
0,1,3,8,-2.13826146,3,0,0.025833333,0.058279371,0.109717869,27,-628
0,1,3,10,-1.50308008,3,-3,0.158068783,-0.018095987,0.298550724,-24,1450
0,1,3,-15,1.32511978,-4,-2,0.081453634,0.415019762,0.133333333,-79,933
1,1,3,-8,-2.4476386,-10,3,-0.128151261,-0.015181849,-0.066666667,49,-1710
0,1,3,0,1.27310062,5,0,0.089934485,-0.016806723,0.163299663,-21,573
0,1,3,-8,-2.25598905,1,-1,-0.062137531,0.306878307,0.024425288,-13,390
1,1,3,-13,-0.8843258,-6,1,-0.023238925,0.100271002,-0.075,52,-1725
1,1,3,0,-3.78918549,11,3,0.15245098,0.002172968,-0.336829837,-36,901
1,1,3,-10,-2.09993156,-9,-2,0.05,-0.152136752,0.004761904,11,-1120
1,1,3,23,2.96783025,13,-4,0.088672769,-0.049865229,0.132850241,-14,1015
0,1,3,-18,-6.35455167,-7,-1,-0.008552632,-0.011605416,0.047348485,14,-1010
0,1,3,-21,3.3100616,3,0,0.06385696,-0.071490845,0.370600414,-46,3253
1,1,3,5,2.99247091,13,-4,-0.023514741,0.042764015,-0.045454546,-15,1155
1,1,3,-10,10.48049281,-10,1,0.15920398,-0.123529412,-0.025757576,-18,2590
0,1,3,-2,4.44626968,2,-1,0.314285714,0.433333333,0,-1,15
1,1,3,-5,-0.8678987,-11,-1,0.252258281,-0.263794407,-0.295454545,32,-493
0,1,3,-8,-0.8569473,3,-5,0.158730159,0.15625,0.205645161,-1,30
1,1,3,-2,-2.54346338,8,-2,0.017488341,-0.144124169,0.028571428,32,-489
0,1,3,7,6.4366872,0,-2,0.015658516,0.017125064,0.166666667,27,-275
0,1,3,-3,7.1211499,1,0,0.04079254,0.168819983,-0.023550724,-50,389
1,1,3,0,-1.97672827,2,-2,0.013645225,-0.183712121,0.060606061,-15,287
1,1,3,-8,-10.32169746,-3,0,0.142857143,-0.151442308,-0.088235294,-18,540
1,1,3,-5,-4.93908282,3,-2,-0.155324675,-0.08974359,0.051111111,103,-808
1,1,3,-8,5.36892539,1,-1,-0.023376624,-0.140789474,0.023648649,13,-250
0,1,3,0,2.08350445,-1,-1,-0.092307692,0.119117647,-0.100645161,42,-560
0,1,3,13,-3.78097194,7,3,0.085217391,0.21474359,0.203846154,-21,487
