Result,Hard,Clay,Best_of_3,surface,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
0,1,0,1,1,-0.441719253,-0.241331188,-0.700683151,0.985289694,-0.633591426,0.402902887,0.421973384,0.031351978,-0.005539204
0,1,0,1,1,0.466202537,2.252190704,0.407875096,-0.023447856,-0.225438133,0.782821644,1.784224518,1.139454631,-0.149652278
1,1,0,1,1,-0.260134895,2.089592739,-0.56211337,0.312797994,0.02024199,-0.666759901,-0.468654931,0.495429158,-0.340504727
0,1,0,1,1,-2.257562834,-0.558052958,-0.56211337,0.649043844,-0.757342471,0.925979439,0.093726613,-0.205422093,0.275605221
0,1,0,1,1,0.193826,-0.302768857,-1.393532055,0.312797994,1.367781707,-0.226362135,0.833041395,-0.953628158,0.395994521
0,1,0,1,1,0.466202537,-1.224333873,0.823584438,0.985289694,-0.354450253,0.836097757,0.399973985,0.116590644,-0.276769215
1,1,0,1,1,-0.441719253,-0.738128883,-0.007834247,-0.695939555,-0.712069732,-1.446930173,-0.60626079,0.088177755,-0.086270852
1,1,0,1,1,0.466202537,0.398997607,-0.284973808,-0.695939555,-0.340977314,-0.579012742,-0.924831945,0.533313009,-1.228552859
1,1,0,1,1,-0.71409579,2.699202701,-0.700683151,1.321535543,-0.642235531,0.652216147,-0.182533538,1.688770477,-0.502676196
1,1,0,1,1,-1.168056685,1.167498088,-0.839252932,-1.032185405,0.685035452,-0.73988899,-0.123340675,0.684848415,-0.541979762
0,1,0,1,1,2.009669581,-0.6115461,0.546444877,0.985289694,-0.06798561,-0.079602631,0.082057852,0.580667823,-0.426547668
1,1,0,1,1,-0.441719253,0.212566063,-0.977822712,0.312797994,-1.605862103,-0.966662238,-1.610076397,0.457545306,-0.310761488
0,1,0,1,1,-0.441719253,-1.007183497,-0.007834247,0.985289694,-0.340927803,0.36999067,0.057082732,0.050293904,-0.043780511
0,1,0,1,1,0.466202537,0.935517928,-0.007834247,-1.032185405,-0.358755361,1.725193684,1.988745008,-2.601575694,2.862204743
0,1,0,1,1,1.374124328,-0.533689746,1.239293781,-0.695939555,0.173002465,0.338346622,-0.545041333,0.088177755,-0.905272179
1,1,0,1,1,-0.986472327,-0.600953397,-0.839252932,-0.023447856,0.277531177,-1.090954999,-1.248407778,0.599609749,-0.529232659
0,1,0,1,1,-1.168056685,-0.943627288,-0.700683151,-0.695939555,1.142001971,-0.294211647,0.585725517,0.059764867,-0.283850939
1,1,0,1,1,0.284618179,-1.87949245,0.130735534,0.312797994,-0.297233714,-0.825715597,-0.633129387,0.230242198,-2.443776618
0,1,0,1,1,0.284618179,0.361923151,0.407875096,-0.023447856,-0.22505667,0.367007317,0.570469329,-0.044415725,0.176461091
1,1,0,1,1,0.012241642,-2.324915541,-0.56211337,1.321535543,0.103028655,-1.801991573,-0.958482342,0.154474495,-2.358795936
0,1,0,1,1,1.010955611,-1.805343541,-0.146404027,0.985289694,0.072042717,0.572943251,0.117885865,0.097648718,-2.156966815
1,1,0,1,1,1.101747791,-0.169830455,0.823584438,-0.359693706,-0.314933532,-0.417579328,0.168640916,-0.06335765,0.049344154
1,1,0,1,1,0.193826,-0.164004469,-0.146404027,-1.368431255,-0.911557703,-0.407211359,-0.264060512,-0.016002836,0.002604778
0,1,0,1,1,0.738579074,0.463613084,0.962154219,1.657781393,-1.007742673,1.299499248,0.167674077,-0.148596316,0.029869414
1,1,0,1,1,0.012241642,-0.21537907,0.130735534,-0.359693706,0.791472753,-0.955450446,-1.800761981,0.628022638,-0.306512454
0,1,0,1,1,0.012241642,-0.722769464,0.546444877,-0.023447856,-0.877023751,1.633671235,0.272186454,-0.347486536,0.297204478
1,1,0,1,1,0.466202537,0.361393517,-1.254962274,0.649043844,-1.416482468,-1.495900558,-0.45871512,0.211300272,-1.923269938
1,1,0,1,1,1.19253997,-0.785266404,-0.56211337,0.649043844,-0.56770795,0.815088336,-1.643726788,0.135532569,-1.851390444
1,1,0,1,1,0.284618179,-0.977523932,-0.700683151,0.985289694,-0.636461861,-0.853015323,-1.191315901,0.580667823,-1.590783018
1,1,0,1,1,0.466202537,0.726312077,-0.700683151,-0.359693706,0.553393316,-1.301130522,-1.475474808,0.324951826,-0.04944589
1,1,0,1,1,1.374124328,1.234761742,0.685014658,0.649043844,-1.416074074,-0.675863085,0.102354917,-0.536905793,0.255776395
1,1,0,1,1,-0.895680148,1.061571076,-0.146404027,1.657781393,-0.927760844,-0.648175458,-0.201684171,-0.830505641,1.311307288
0,1,0,1,1,0.466202537,0.083335107,-0.007834247,0.649043844,-0.096535915,0.620642883,0.669157824,-0.082299576,0.027036725
0,1,0,1,1,-0.260134895,1.173324074,-0.839252932,1.657781393,-0.031603432,0.028298446,-0.055255485,0.381777604,-0.067504285
0,1,0,1,1,0.284618179,0.069034961,-0.007834247,0.649043844,-1.643403397,0.996771756,0.413289413,-0.536905793,1.360879353
1,1,0,1,1,-0.895680148,1.153727577,-0.284973808,-1.032185405,-1.136690852,-2.172580814,0.151980756,0.580667823,-0.196745739
0,1,0,1,1,-0.260134895,-0.784207132,-0.146404027,-0.359693706,-0.150657557,-0.69938034,0.337304641,-0.044415725,0.017122312
1,1,0,1,1,-0.260134895,-0.024710446,-1.116392493,1.657781393,-1.315321863,-0.212907454,-0.553453931,0.504900121,-0.117076349
1,1,0,1,1,0.738579074,0.484268852,-0.146404027,1.321535543,-2.04692889,-1.042440213,-2.975112064,1.10157078,-5.696766326
0,1,0,1,1,-0.441719253,0.172843435,-0.977822712,0.649043844,0.299632814,0.86783843,2.024166478,-0.584260607,1.591035368
1,1,0,1,1,-0.895680148,0.140535693,-0.007834247,-0.695939555,-0.262162641,-0.387490133,-0.97506084,0.050293904,-0.006601462
1,1,0,1,1,0.284618179,0.454079654,-0.007834247,0.649043844,0.587003857,-0.764233444,-1.28915787,-0.423254239,0.092542667
1,1,0,1,1,-0.260134895,0.993777786,-1.532101836,0.985289694,-1.814717728,-0.985480876,-1.170607963,0.599609749,-0.229321667
1,1,0,1,1,-2.166770655,-1.28047519,-0.839252932,0.312797994,0.649314597,-2.249573379,0.179879995,0.713261303,-1.404887775
1,1,0,1,1,-0.71409579,0.262881395,-0.56211337,-0.359693706,0.872681196,-1.79848972,-0.308927714,0.268126049,-0.133364314
1,1,0,1,1,0.012241642,0.690296893,0.269305315,-0.023447856,-0.31306143,-1.258487165,-1.867611323,0.448074343,-5.552653252
